date_mutation,Unnamed: 0.1,id_mutation,valeur_fonciere,code_commune,code_departement,surface_reelle_bati,nombre_pieces_principales,surface_terrain,Appartement,Dependance,Local,Maison
2016-03-24,655,2016-141555,480000.0,13100.0,13.0,32.0,2.0,906.0,0,0,0,1
2016-03-25,1015,2016-1033308,220000.0,83137.0,83.0,33.0,2.0,271.0,1,0,0,0
2016-03-25,1455,2016-1055266,272610.0,84087.0,84.0,165.0,5.0,500.0,0,0,0,1
2016-03-25,176,2016-117811,470000.0,13005.0,13.0,129.0,4.0,1205.0,0,0,0,1
2016-03-25,555,2016-136723,337750.0,13117.0,13.0,119.0,5.0,1163.0,0,0,0,1
2016-03-29,652,2016-141411,252510.0,13004.0,13.0,110.0,5.0,671.0,0,0,0,1
2016-03-30,887,2016-1027414,350000.0,83121.0,83.0,215.0,7.0,966.0,0,0,0,1
2016-03-31,1152,2016-1040942,942000.0,83034.0,83.0,51.0,2.0,3869.0,1,0,0,0
2016-03-31,883,2016-1027275,329850.0,83056.0,83.0,107.0,4.0,500.0,0,0,0,1
2016-04-01,881,2016-1027182,1022150.0,83139.0,83.0,82.0,3.0,3809.0,0,0,0,1
2016-04-01,746,2016-1020514,530000.0,83115.0,83.0,180.0,3.0,560.0,0,0,0,1
2016-04-04,1271,2016-1047058,257000.0,84030.0,84.0,105.0,4.0,703.0,0,0,0,1
2016-04-04,1267,2016-1046862,242000.0,84016.0,84.0,110.0,4.0,1287.0,0,0,0,1
2016-04-04,654,2016-141512,167000.0,13004.0,13.0,75.0,3.0,282.0,1,0,0,0
2016-04-06,1153,2016-1040988,217380.0,83049.0,83.0,87.0,4.0,117.0,0,0,0,1
2016-04-07,179,2016-118000,417000.0,13030.0,13.0,114.0,5.0,769.0,0,0,0,1
2016-04-07,886,2016-1027378,395000.0,83072.0,83.0,204.0,7.0,500.0,0,0,0,1
2016-04-11,888,2016-1027473,390000.0,83072.0,83.0,104.0,4.0,500.0,0,0,0,1
2016-04-11,1456,2016-1055293,206100.0,84056.0,84.0,209.0,5.0,1717.0,0,0,0,1
2016-04-15,750,2016-1020704,470000.0,83115.0,83.0,39.0,2.0,156.0,0,0,0,1
2016-04-15,893,2016-1027677,471500.0,83087.0,83.0,202.0,7.0,500.0,0,0,0,1
2016-04-15,560,2016-136988,270000.0,13117.0,13.0,75.0,4.0,198.0,0,0,0,1
2016-04-18,468,2016-133083,495000.0,13110.0,13.0,168.0,4.0,4130.0,0,0,0,1
2016-04-18,1158,2016-1041259,405000.0,83071.0,83.0,73.0,3.0,1500.0,0,0,0,1
2016-04-20,658,2016-141704,230000.0,13004.0,13.0,77.0,3.0,391.0,0,0,0,1
2016-04-20,1285,2016-1047789,138000.0,84067.0,84.0,142.0,5.0,278.0,0,0,0,1
2016-04-21,1020,2016-1033642,405000.0,83126.0,83.0,128.0,5.0,768.0,0,0,0,1
2016-04-22,897,2016-1027863,260000.0,83116.0,83.0,120.0,4.0,500.0,0,0,0,1
2016-04-22,1038,2016-1034769,180000.0,83137.0,83.0,23.0,0.0,241.0,0,0,1,0
2016-04-26,1022,2016-1033769,300000.0,83137.0,83.0,38.0,2.0,455.0,1,0,0,0
2016-04-26,304,2016-124401,240000.0,13213.0,13.0,60.0,3.0,560.0,0,0,0,1
2016-04-28,754,2016-1020914,4870000.0,83119.0,83.0,203.0,7.0,4624.0,0,0,0,1
2016-04-29,902,2016-1028081,164000.0,83046.0,83.0,100.0,4.0,98.0,0,0,0,1
2016-04-29,397,2016-129452,693100.0,13001.0,13.0,125.0,4.0,1526.0,0,0,0,1
2016-05-02,703,2016-143819,51000.0,13027.0,13.0,93.0,4.0,1865.0,0,0,0,1
2016-05-09,896,2016-1027812,810000.0,83117.0,83.0,285.0,6.0,500.0,0,0,0,1
2016-05-09,566,2016-137284,205000.0,13047.0,13.0,100.0,4.0,128.0,0,0,0,1
2016-05-09,751,2016-1020764,390000.0,83107.0,83.0,90.0,5.0,683.0,0,0,0,1
2016-05-09,1161,2016-1041428,414611.0,83016.0,83.0,71.0,3.0,500.0,0,0,0,1
2016-05-10,1027,2016-1034065,315000.0,83062.0,83.0,60.0,3.0,478.0,0,0,0,1
2016-05-19,1280,2016-1047517,134000.0,84031.0,84.0,66.0,4.0,345.0,0,0,0,1
2016-05-23,31,2016-108736,1000000.0,13201.0,13.0,9.0,0.0,157.0,0,0,1,0
2016-05-23,407,2016-129957,337000.0,13113.0,13.0,80.0,4.0,430.0,0,0,0,1
2016-05-23,1358,2016-1051120,175000.0,84017.0,84.0,75.0,5.0,365.0,0,0,0,1
2016-05-23,1460,2016-1055497,198000.0,84138.0,84.0,36.0,1.0,250.0,1,0,0,0
2016-05-24,904,2016-1028173,247000.0,83067.0,83.0,89.0,4.0,841.0,0,0,0,1
2016-05-24,663,2016-141948,235000.0,13100.0,13.0,28.0,1.0,44.0,1,0,0,0
2016-05-24,410,2016-130110,254000.0,13110.0,13.0,36.0,2.0,111.0,1,0,0,0
2016-05-25,901,2016-1028041,337800.0,83097.0,83.0,93.0,3.0,500.0,0,0,0,1
2016-05-27,1037,2016-1034706,135000.0,83137.0,83.0,48.0,3.0,110.0,1,0,0,0
2016-05-30,415,2016-130371,1600000.0,13109.0,13.0,290.0,7.0,5319.0,0,0,0,1
2016-05-30,570,2016-137493,100000.0,13014.0,13.0,72.0,3.0,369.0,0,0,0,1
2016-06-01,1036,2016-1034638,291000.0,83062.0,83.0,67.0,4.0,594.0,0,0,0,1
2016-06-02,1496,2016-1057106,252000.0,84019.0,84.0,131.0,5.0,629.0,0,0,0,1
2016-06-03,57,2016-110470,100000.0,13201.0,13.0,14.0,0.0,62.0,1,0,0,0
